track_name,track_artist,year,track_id,playlist_genre,Energy,Danceability,Valence,Acousticness,Instrumentalness,Tempo,decade
Montego Bay,Bobby Bloom,1970,spotify:track:6TBUBqz21JmF2hkeRbnwme,Unknown,0.5877548961127292,0.7742914979757085,0.9477386934673366,0.7406652821489076,0.0022131979695431472,0.48444562738340524,70s
Your Power,Billie Eilish,2021,spotify:track:5qNh5WtzMbfpSj2jLlBkoD,Pop,0.2858430317086697,0.6417004048582996,0.20402010050251257,0.945509436716113,0.00036446700507614214,0.5949622096891879,20s
Talk of the Town,John Farnham,2003,spotify:track:3u5vKV8Jr3XON1QWz1lUbP,Rock,0.8946819077660257,0.687246963562753,0.9376884422110553,0.49646683187667273,0.028426395939086295,0.4246144103380707,00s
Starboy,"The Weeknd, Daft Punk",2016,spotify:track:7MXVkk9YMctZqd1Srtv4MB,R&B,0.5887579255625767,0.687246963562753,0.48844221105527635,0.14227817053140648,6.446700507614213e-06,0.8535654137201543,10s
Anthem for the Year 2000,Silverchair,1999,spotify:track:3J19l4hOfwFFIF715BwVcG,Rock,0.7703062559849514,0.32894736842105265,0.4562814070351759,0.0429842552141011,4.101522842639595e-06,0.8104151656853882,90s
Foreplay / Long Time,Boston,1976,spotify:track:39C5FuZ8C8M0QI8CrMsPkR,Rock,0.6589699870518929,0.4402834008097166,0.2100502512562814,0.009916555976823671,0.007593908629441624,0.5447311541762079,70s
New Romantics,Taylor Swift,2014,spotify:track:3KhIpPRbkjr3p1eJkD51dj,Pop,0.8916728194164836,0.6406882591093117,0.5869346733668341,0.004669316549486391,0.00046497461928934013,0.5596545410324304,10s
She - Original Stereo Version; 2006 Remaster,The Monkees,1967,spotify:track:2l1GIxmkts2O0qYrlwGwF0,Rock,0.6710063404500614,0.5121457489878543,0.7668341708542714,0.24318662105712338,2.030456852791878e-06,0.547314754053223,60s
I'm Good?,Hilltop Hoods,2020,spotify:track:1EuI95kVxZYLbENy8d6AOI,Hip Hop,0.7632850498360197,0.9119433198380568,0.964824120603015,0.3138225364251252,0.0,0.5506050579818551,20s
The Chain - 2004 Remaster,Fleetwood Mac,1977,spotify:track:7Dm3dV3WPNdTgxoNY7YFnc,Rock,0.7572668731369355,0.52834008097166,0.6402010050251257,0.052166924211941336,6.730964467005076e-05,0.6965899235015809,70s
Shoop,Salt-N-Pepa,1993,spotify:track:0Pu71wxadDlB8fJXfjIjeJ,Hip Hop,0.6760214876992983,0.9504048582995951,0.7959798994974875,0.09182394526854806,0.0,0.4447554758091532,90s
Trouble,P!nk,2003,spotify:track:5PLC7cNlxWIMAZvXrtqsZm,Electronic,0.9358061152097681,0.5819838056680161,0.8522613065326633,0.008291929923359628,0.0,0.6218077856759349,00s
You Got Me,Gavin DeGraw,2014,spotify:track:4stNldZRtgwvHvb34INX5y,Rock,0.46337924433165495,0.3269230769230769,0.18894472361809045,0.05357964251930137,4.5177664974619285e-05,0.4864097139684186,10s
I Am the Beat,The Look,1981,spotify:track:5LenBcq9xeHLC00Gn7AyYv,Unknown,0.6589699870518929,0.4342105263157895,0.7879396984924624,0.26437739566752394,6.142131979695432e-05,0.8029993621307586,80s
Twistin' Matilda (And the Channel),Jimmy Soul,2013,spotify:track:1A4a167Yf7bXEkVOqon1HK,Unknown,0.777327462133883,0.5414979757085021,0.8512562814070351,0.7214926765490214,0.0,0.6489929467264459,10s
Nothing Can Divide Us,Jason Donovan,2007,spotify:track:34sAPj9hCZr4f814I3MWEy,Electronic,0.7903668449818989,0.7105263157894737,0.8562814070351759,0.02653617777840924,2.456852791878173e-06,0.5511373805142419,00s
Its Only the Beginning,Deborah Conway,1991,spotify:track:1HXaX12pA7jVuwUczy5UOd,Rock,0.6940760177965509,0.5688259109311742,0.6562814070351759,0.027747079184717843,1.1776649746192893e-06,0.6329177240458347,90s
S.O.S.,Jonas Brothers,2007,spotify:track:2gGxroCYEruO4Bco35RnGU,Pop,0.6990911650457877,0.5941295546558704,0.7055276381909548,0.0007530595845833199,0.0,0.6290950975848159,00s
Lil Boo Thang,Paul Russell,2023,spotify:track:0cVyQfDyRnMJ0V3rjjdlU3,R&B,0.7010972239454825,0.8603238866396761,0.9195979899497487,0.15337810008923536,0.0,0.5253518606049202,20s
Piece by Piece,Kelly Clarkson,2015,spotify:track:2NELtMgQ8HSdrGrYQPLnC3,Electronic,0.8104274339788464,0.597165991902834,0.6040201005025125,0.0009589128236557824,1.5532994923857867e-06,0.48656573953825605,10s
Glamorous,"Fergie, Ludacris",2006,spotify:track:6vVfNqiMSku4FrqsqhurBK,Hip Hop,0.7622820203861723,0.819838056680162,0.5628140703517589,0.3037316913725535,0.0,0.601116041723073,00s
Free Your Mind,En Vogue,1992,spotify:track:2vG1yrWSMiL6egg6w4e9ma,R&B,0.8334971113253359,0.7742914979757085,0.8130653266331659,0.0902094100601366,0.0,0.45901804848724026,90s
From The Sea,Eskimo Joe,2004,spotify:track:74Hy0E0huf9VS853otOC0m,Rock,0.9418242919088523,0.5890688259109311,0.27437185929648245,0.0633677622202959,4.5583756345177664e-05,0.5966739019700522,00s
Dance To This (feat. Ariana Grande),"Troye Sivan, Ariana Grande",2018,spotify:track:2NjO87HyT80fsgejd3PLYW,Pop,0.7582699025867828,0.7449392712550608,0.7155778894472361,0.006374669363371007,0.005776649746192893,0.5369803545451625,10s
Into The Dark,Ben Lee,2005,spotify:track:1ESxXEaYZ3CvkVqBdSHZiS,Rock,0.72115781294243,0.7884615384615385,0.9407035175879398,0.0997957128600797,0.0,0.5781940499190044,00s
Happenin' All Over Again - Radio,Young Divas,2006,spotify:track:1Xhz8EjC4GChCe46aR0MFy,Pop,0.7542577847873934,0.6244939271255061,0.8603015075376884,0.000962949161676811,7.6243654822335026e-06,0.5692088126913034,00s
You've Never Been This Far Before,Conway Twitty,2004,spotify:track:6UqKslmiLujULn7mpfbpaC,Rock,0.3400066220004279,0.7105263157894737,0.6753768844221106,0.6851656343597634,0.0,0.6117808483202012,00s
Superstylin',Groove Armada,2001,spotify:track:2yWyFT6bW1Rd9cjVvYi4v8,Electronic,0.8003971394803726,0.7510121457489879,0.9326633165829146,0.003488687678335505,0.0013299492385786802,0.5918279313303934,00s
Halfway Gone,Lifehouse,2010,spotify:track:7rojor07Wzc7w3zXOxex80,Rock,0.9217637029119049,0.5495951417004049,0.5005025125628141,0.00044226155696411193,0.0,0.5737014313051538,10s
Too Much (feat. Usher),"Marshmello, Imanbek, USHER",2020,spotify:track:39umHdGKfpnjY4TFtnoQ51,Hip Hop,0.8936788783161784,0.7206477732793523,0.7386934673366834,0.004184955986962951,0.0,0.5782674737165749,20s
Polaroid,Keith Urban,2020,spotify:track:3g2zKo9K0MymRmkn6fXWcr,Country,0.7462335491886144,0.8006072874493928,0.8402010050251256,0.6034297894339327,0.0,0.5371730920137853,20s
Walk Right In,Dr. Hook,1992,spotify:track:0iyFZC2XuPdLpfQpUeli4H,Rock,0.8696061715198414,0.805668016194332,0.8854271356783919,0.07487132558022763,0.0019796954314720812,0.5271369766833552,90s
Two Strong Hearts,John Farnham,1988,spotify:track:4rRRVHoBP8v42QdOivhhfj,Rock,0.7823426093831198,0.6174089068825911,0.8452261306532663,0.021389846801597678,0.0,0.5041277941196716,80s
Work from Home (feat. Ty Dolla $ign),"Fifth Harmony, Ty Dolla $ign",2016,spotify:track:4tCtwWceOPWzenK2HAIJSb,Hip Hop,0.5867518666628819,0.8127530364372471,0.5959798994974874,0.10393295933163409,4.000000000000001e-06,0.48192168434191623,10s
Hidden Agenda - New Mix,Craig David,2008,spotify:track:40rOKDgEB0PoedLUQELRFi,R&B,0.729182048541209,0.7135627530364372,0.6190954773869347,0.25428655061495226,0.0,0.44086860352526,00s
Roar,Katy Perry,2013,spotify:track:6F5c58TMEs1byxUstkzVeM,Pop,0.7733153443344934,0.6791497975708503,0.4381909547738693,0.004961951056010971,7.3908629441624364e-06,0.4130226282966138,10s
Time After Time,Cyndi Lauper,1983,spotify:track:5tzbM8m70V977Ezpfk8IPS,Electronic,0.4503398614836391,0.7348178137651822,0.29547738693467335,0.4914214093503869,1.3604060913705584e-06,0.5983488823521314,80s
Freak On a Leash,Korn,1998,spotify:track:6W21LNLz9Sw7sUSNWMSHRu,Hip Hop,0.90070008446511,0.3572874493927125,0.5276381909547739,1.9757874612935363e-05,0.1065989847715736,0.4740378040777742,90s
Chulu Chululu,Bill & Boyd,1964,spotify:track:5YDP1MSGDD5k0pm7j5KjMM,Country,0.9528576158571734,0.4544534412955466,0.8824120603015075,0.3622585926774693,0.003299492385786802,0.7238485083496624,60s
Video Killed The Radio Star,The Buggles,1980,spotify:track:6t1FIJlZWTQfIZhsGjaulM,Electronic,0.6118276029090662,0.6831983805668017,0.3457286432160804,0.08597125513805648,0.019086294416243654,0.6013271351410884,80s
Lay Down (Candles In The Rain) - Long Version,"Melanie, The Edwin Hawkins Singers",1998,spotify:track:1mVTTCmWniYZrjHwHRqWyw,Folk,0.661979075401435,0.28947368421052627,0.6633165829145728,0.11301471987894862,0.2,0.4227053916012353,90s
Poker Face,Lady Gaga,2008,spotify:track:1QV6tiMFM6fSOKOGLMHYYg,Electronic,0.8084213750791516,0.861336032388664,0.7778894472361809,0.12007831141574879,1.7461928934010153e-06,0.546094083418612,00s
Vegas Girl,Conor Maynard,2012,spotify:track:7K5u9x1qd2WyEkTN7ntm1A,Pop,0.7221608423922774,0.5738866396761133,0.2422110552763819,0.0019044250050817496,0.0,0.8077306080867134,10s
American Boy (feat. Kanye West),"Estelle, Kanye West",2008,spotify:track:41on8RwRh22IHcChAN2gm8,Hip Hop,0.7311881074409038,0.7358299595141701,0.5145728643216081,0.17255070568912156,0.0,0.5411884559434269,00s
Harder To Breathe,Maroon 5,2002,spotify:track:4V9JDRqKjN8F2HWdlEDxvI,Pop,0.9107303789635838,0.6700404858299596,0.971859296482412,0.05105693125615845,0.0,0.6880773519707406,00s
Dead And Gone,"T.I., Justin Timberlake",2008,spotify:track:7IhsLJMqdxoo7YAZjaSMru,Hip Hop,0.7482396080883091,0.72165991902834,0.4723618090452261,0.04056245240148389,0.0,0.6196096607361653,00s
If,Janet Jackson,1993,spotify:track:0t414ewhjcIiuPVF3QECz2,R&B,0.9789363815532052,0.6609311740890689,0.4492462311557789,0.03773701578676382,0.0017563451776649746,0.4844823392821906,90s
Truth Hurts,Lizzo,2019,spotify:track:2DJpq0JJbGiBuQ3S5TDpPD,Hip Hop,0.6278760741066243,0.72165991902834,0.3919597989949749,0.11200563537369145,0.0,0.7254271199974301,10s
Be Mine!,Robyn,2007,spotify:track:4zCWUhwXEgXrUY2C0hBfl2,Electronic,0.7301850779910564,0.714574898785425,0.9688442211055276,0.3047407758778107,0.0,0.7249315093638287,00s
1 Thing,Amerie,2005,spotify:track:6ZyNjT2hYvfV5PuW84dp1E,R&B,0.9488454980577838,0.6437246963562753,0.8954773869346734,0.11604197339472012,3.8071065989847716e-05,0.5740134824448289,00s
One Way Ticket,The Darkness,2005,spotify:track:44x9GdJsYmbaYRBm8ROyfL,Rock,0.7632850498360197,0.5121457489878543,0.4934673366834171,0.012308086254283162,6.974619289340102e-06,0.6077471284411669,00s
Two Faces Have I,Lou Christie,2014,spotify:track:3YKQqwURGKQnxk9TKfq1gE,Rock,0.5205519229729553,0.6204453441295547,0.9688442211055276,0.7235108455595357,0.43248730964467,0.6404574302588647,10s
Freedom,Wham!,1984,spotify:track:0PhU6i6Kei6x0CH3jocvA3,Rock,0.6529518103528086,0.5981781376518218,0.828140703517588,0.42381274749815656,1.969543147208122e-06,0.6082152051506794,80s
Lido Shuffle,Boz Scaggs,1976,spotify:track:2NtqZmfRIDkXJ2YvY2Kv1F,Rock,0.785351697732662,0.6002024291497976,0.649246231155779,0.016647149626888985,7.370558375634518e-05,0.648630416725941,70s
